time,RSSI
211,94
315,94
419,94
523,94
628,94
733,94
837,94
942,94
1046,94
1150,94
1255,94
1359,94
1463,94
1567,94
1671,94
1776,94
1880,94
1984,94
2089,94
2193,94
2297,94
2402,94
2506,94
2610,94
2714,94
2819,94
2923,94
3027,94
3131,92
3236,92
3341,92
3446,92
3550,92
3654,92
3758,92
3863,92
3967,92
4071,92
4176,92
4280,92
4386,92
4491,92
4595,92
4699,92
4802,92
4907,92
5012,92
5116,92
5220,92
5325,92
5431,92
5534,92
5639,92
5744,92
5848,92
5953,92
6059,92
6163,92
6270,92
6375,92
6480,92
6585,92
6689,92
6795,92
6902,92
7007,92
7113,92
7217,92
7321,92
7426,92
7531,92
7636,92
7741,92
7848,92
7952,92
8055,92
8160,92
8264,92
8369,92
8473,92
8579,92
8683,92
8788,92
8892,92
8997,92
9101,92
9204,92
9309,92
9416,92
9519,92
9624,92
9728,92
9833,92
9937,92
10041,92
10145,92
10250,92
10354,92
time,RSSI
3,93
103,93
202,93
302,93
402,93
503,93
603,93
703,93
803,93
903,93
1004,93
1104,93
1205,93
1306,93
1406,93
1506,93
1607,93
1707,93
1807,93
1907,93
2007,93
2107,93
2207,93
2307,93
2408,93
2508,93
2611,93
2712,93
2812,93
2912,93
3012,93
3112,93
3212,93
3313,93
3413,93
3514,93
3614,93
3716,92
3817,92
3918,92
4019,92
4121,92
4221,92
4321,92
4422,92
4522,92
4623,92
4725,92
4828,92
4928,92
5028,92
5128,92
5229,92
5330,92
5430,92
5531,92
5633,92
5733,91
5834,91
5936,91
6037,91
6137,91
6237,91
6337,91
6438,91
6539,91
6639,91
6740,91
6840,91
6940,91
7040,91
7140,91
7240,91
7339,91
7439,91
7540,91
7640,91
7740,92
7841,92
7941,92
8042,92
8142,92
8242,92
8343,92
8444,92
8545,92
8646,92
8746,92
8846,92
8946,92
9047,92
9146,92
9247,92
9347,92
9448,92
9548,92
9650,92
9750,92
9850,92
9950,92
time,RSSI
1543094146179,91
1543094146282,91
1543094146386,91
1543094146488,91
1543094146592,91
1543094146695,91
1543094146798,91
1543094146902,91
1543094147004,91
1543094147108,91
1543094147212,91
1543094147316,91
1543094147419,91
1543094147522,91
1543094147625,91
1543094147728,91
1543094147831,91
1543094147934,91
1543094148038,91
1543094148141,91
1543094148244,91
1543094148347,91
1543094148451,91
1543094148555,91
1543094148659,91
1543094148762,91
1543094148865,91
1543094148969,90
1543094149072,90
1543094149176,90
1543094149278,90
1543094149382,90
1543094149485,90
1543094149588,90
1543094149692,90
1543094149795,90
1543094149898,90
1543094150002,90
1543094150105,90
1543094150209,90
1543094150312,90
1543094150415,90
1543094150518,90
1543094150621,90
1543094150724,90
1543094150828,90
1543094150931,89
1543094151034,89
1543094151138,89
1543094151241,89
1543094151344,89
1543094151449,89
1543094151552,89
1543094151655,89
1543094151758,89
1543094151861,89
1543094151964,89
1543094152067,89
1543094152170,89
1543094152273,89
1543094152376,89
1543094152479,89
1543094152582,89
1543094152686,89
1543094152789,89
1543094152892,89
1543094152995,88
1543094153099,88
1543094153202,88
1543094153304,88
1543094153407,88
1543094153511,88
1543094153615,88
1543094153717,88
1543094153821,88
1543094153925,88
1543094154028,88
1543094154132,88
1543094154235,88
1543094154338,88
1543094154440,88
1543094154545,88
1543094154647,88
1543094154750,88
1543094154853,88
1543094154956,90
1543094155060,90
1543094155163,90
1543094155266,90
1543094155369,90
1543094155472,90
1543094155575,90
1543094155679,90
1543094155784,90
1543094155887,90
1543094155990,90
1543094156093,90
1543094156196,90
1543094156300,90
1543094156404,90
time,RSSI
3,93
107,93
210,93
314,93
417,93
520,93
631,93
735,93
839,93
942,93
1045,93
1148,93
1252,93
1355,93
1458,93
1562,93
